Home,Away,Date,Favorite,Spread,TeamWin,WinPoints,LosePoints,Homeptsposs,AwayPtsposs,HomeeFG,AwayeFG,HomeTOV,AwayTOV,HomeOREB,AwayOREB,HomeFTR,AwayFTR,HomeRest,AwayRest,Pick,OT
MIN,MIL,11/04/19,MIL,7.5,MIL,134,106,95.5,119.6,42.2,61.3,14.4,15.2,25.8,23.9,18.4,21.7,1,1,,
PHX,PHI,11/04/19,PHX,1,PHX,114,109,109.6,102.8,60.4,54.5,19.2,18.9,17.9,23.1,27.3,13.6,1,1,,
GSW,POR,11/04/19,POR,12,GSW,127,118,125.7,117,54.7,51,9.9,6,30.2,31,38.8,10.6,1,1,,
CLE,BOS,11/05/19,BOS,6,BOS,119,113,109.7,115.5,48.4,63.5,8.7,13.6,25,13.2,20.8,12.9,1,3+,,
CHA,IND,11/05/19,IND,2.5,CHA,122,120,115.1,113.2,53.4,60.6,12.3,17,23.5,19,31.8,6.5,2,1,,TRUE
ATL,SAS,11/05/19,SAS,6,ATL,108,100,104.9,97.1,53.9,46.2,17.5,14.7,28.3,26.3,12.2,17.8,3+,1,,
CHI,LAL,11/05/19,LAL,7,LAL,118,112,107.7,112.4,58.8,54.9,15.4,15.2,17,25.5,14.1,18.9,1,1,,
OKC,ORL,11/05/19,OKC,2.5,OKC,102,94,107.4,100,50,40.9,9.5,14.9,20.4,33.3,18.6,33.3,2,2,,
DEN,MIA,11/05/19,DEN,5,DEN,109,89,112.4,90.8,57.6,41.5,20.6,15.3,24.4,28.8,11.6,18.2,2,1,,
IND,WAS,11/06/19,IND,3,IND,121,106,116.5,102.9,53.2,45.8,12.6,16.5,29.4,33.3,22.3,20.2,0,1,,
DET,NYK,11/06/19,DET,3.5,DET,122,102,122.4,103,65.2,55.6,17.3,14.1,24.3,11.9,24.4,16.3,1,2,,
HOU,GSW,11/06/19,HOU,16,HOU,129,112,126.5,109.8,60.3,46.4,12.7,10.8,29.4,30.5,12.4,24.2,1,1,,
ATL,CHI,11/06/19,ATL,1,CHI,113,93,86.1,104.6,44.6,57.9,22.2,18.5,14.6,17.4,26.5,22.2,0,0,,
TOR,SAC,11/06/19,TOR,8,TOR,124,120,122.8,116.7,64.1,54.7,13.9,13.7,13.5,29.8,30.8,16.8,3+,2,,
MEM,MIN,11/06/19,MIN,3.5,MEM,137,121,128,113.1,63.6,53.1,15.9,10.3,31.7,23.6,28.4,20,1,1,,
DAL,ORL,11/06/19,DAL,7,DAL,107,106,108.1,106,49.4,52.5,17.2,18,30,24,28.6,27.8,2,0,,
UTA,PHI,11/06/19,UTA,2.5,UTA,106,104,107.1,105.1,50.6,46.2,13.1,16.2,30.2,26.5,18,37.5,2,1,,
LAC,MIL,11/06/19,MIL,6.5,MIL,129,124,107.8,110.3,48.5,52,16.5,12.8,30,25,29.6,27.6,2,1,,
CHA,BOS,11/07/19,BOS,7,BOS,108,87,81.1,101.9,41.9,48.4,19.8,12.4,21.8,21.8,17.4,19.4,1,1,,
SAS,OKC,11/07/19,SAS,5,SAS,121,112,124.7,114.3,59,58.8,13.4,13.3,34.9,12.2,10.6,22.5,1,1,,
PHX,MIA,11/07/19,PHX,2,MIA,124,108,108,121.8,50.6,64,15,14.9,27.5,16.2,27.4,23.8,2,1,,
LAC,POR,11/07/19,LAC,5.5,LAC,107,101,100.9,96.2,46.1,42.8,16,13.3,30.8,30.3,28.1,11.5,0,2,,
ORL,MEM,11/08/19,ORL,7.5,ORL,118,86,116.8,86,51.1,43.6,8.9,18,29.4,16.4,24.7,12.8,1,1,,
WAS,CLE,11/08/19,WAS,5,CLE,113,100,101,112.1,50.5,48.9,19.2,13.1,38.5,37.3,3.1,27.8,1,2,,
IND,DET,11/08/19,IND,6,IND,112,106,116.7,109.3,54.2,52.9,13.5,17.5,25.6,29.2,26.5,17.6,1,1,,
ATL,SAC,11/08/19,SAC,3,SAC,121,109,117.2,130.4,58,67.1,14,16.3,34.9,28.6,9.2,25.3,1,1,,
MIN,GSW,11/08/19,MIN,11.5,MIN,125,119,105,99.2,47.3,46.6,15.1,16,36.4,24.6,18,22.8,1,1,,TRUE
NOP,TOR,11/08/19,TOR,2,TOR,122,104,94.5,111.9,45.5,54.3,16.5,15.6,26.2,22.6,14.3,22.6,3+,1,,
DAL,NYK,11/08/19,DAL,11,NYK,106,102,101,103.9,48.9,49.4,12.9,11.8,15.1,25.9,15.7,20.5,1,1,,
